You are here! Congrats, It`s working!
end = 3
begin = 1, i = 1, index = 15
continua -> begin = 43, i = 43, index = 43
continua -> begin = 43, i = 43, index = 43
continua -> begin = 43, i = 43, index = 43
end = 44
begin = 43, i = 43, index = 34
entrou
begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
continua -> begin = 44, i = 44, index = 34
end = 45
begin = 44, i = 44, index = 10
entrou
begin = 45, i = 45, index = 10
continua -> begin = 45, i = 45, index = 10
end = 46
begin = 45, i = 45, index = 47
entrou
begin = 46, i = 46, index = 47
continua -> begin = 46, i = 46, index = 47
continua -> begin = 46, i = 46, index = 47
end = 47
begin = 46, i = 46, index = 44
entrou
begin = 47, i = 47, index = 44
continua -> begin = 47, i = 47, index = 44
continua -> begin = 47, i = 47, index = 44
continua -> begin = 47, i = 47, index = 44
end = 49
begin = 47, i = 47, index = 22
entrou
begin = 48, i = 48, index = 22
continua -> begin = 48, i = 48, index = 22
end = 50
begin = 48, i = 48, index = 4
entrou
begin = 49, i = 49, index = 4
continua -> begin = 49, i = 49, index = 4
end = 51
begin = 49, i = 49, index = 29
entrou
begin = 50, i = 50, index = 29
end = 51
begin = 50, i = 50, index = 48
entrou
begin = 51, i = 51, index = 48
Numero i é 51 e numero de vetores é 50


  15  42  13  50  39  36   7  25  40  20   6  23  35  27   9   3  31  46  14  17  12  41  32   5  28  30  26  19  45  18  24  21  16   1  37   8  11   2  49  33  38  43  34  10  47  44  22   4  29  48  15  42  13  50  39  36   7  25  40  20   6  23  35  27   9   3  31  46  14  17  12  41  32   5  28  30  26  19  45  18  24  21  16   1  37   8  11   2  49  33  38  43  34  10  47  44  22   4  29  48
